City,State,Lat,Long,Snowfall,Direction
Burlington,VT,44.4683,-73.1499,81.2,N
Portland,ME,43.6497,-70.3002,61.9,N
Concord,NH,42.2015,-71.5002,61.4,N
Boston,MA,42.3606,-71.0097,43.8,S
Worcester,MA,42.2706,-71.8731,64.1,S
Hartford,CT,41.9375,-72.6819,40.5,S
Providence,RI,41.7225,-71.4325,33.8,S
New Haven,CT,41.308,-72.926,34.2,S
Newport,RI,41.49,-71.312,25.3,S
New Bedford,MA,41.636,-70.932,26.1,S
Brattleboro,VT,42.85,-72.557,56.3,N
Nashua,NH,42.765,-71.466,51.1,N
Bangor,ME,44.801,-68.77,58.2,N
